regex,category,source
OLLELLA\ PTE\ LTD\ N/A,1,"4,7"
OLSEN BAKEHOUSE,1,
ONE-TECH\.SG,1,
ONE15 3INA CLUB,1,
OPN\*Maple Catering SGH,1,
OPN\*Soul Delicacies SGH,1,
ORCHARD HOTEL F B,1,
OTTOMAN\ TURKISH\ DELIGH,1,7
PANECO SINGAPORE PL,1,
PANG PANG RICE,1,
PARKING\.SG,1,
Pasta Express,1,
PATISSERIE G,1,
PATSFIELD S.*S,1,
PAYNOW - P E T I \.\.\. ,1,2
PAYNOW AHMAH'S LE\.\.\. ,1,
PAYNOW\ ATRIA\ CITY\.\.\.\ ,1,3
PAYNOW BAKER'S WE\.\.\. ,1,
PAYNOW BAKERY BRE\.\.\. ,1,"2,3"
PAYNOW CAFE\.\.\. ,1,
PAYNOW CHA MULAN \.\.\. ,1,3
PAYNOW FOUR SEASO\.\.\. ,1,
PAYNOW HAO LAI KE\.\.\. ,1,"2,3"
PAYNOW HAWKERLAB \.\.\. ,1,2
PAYNOW HAY DAIRIE\.\.\. ,1,
PAYNOW HENG HENG \.\.\. ,1,2
PAYNOW HOW'S CATE\.\.\. ,1,
PAYNOW HUNG HUAT \.\.\. ,1,
PAYNOW JIA CONFEC\.\.\. ,1,
PAYNOW JIAN BO SH\.\.\. ,1,
PAYNOW LINA CONFE\.\.\. ,1,
PAYNOW MK LEVURE \.\.\. ,1,2
PAYNOW NEO EMPIRE\.\.\. ,1,
PAYNOW\ NEO\ EMPIRE\.\.\.\ ,1,3
PAYNOW NEO GARDEN\.\.\. ,1,
PAYNOW OLD CHANG \.\.\. ,1,
PAYNOW ONE FATTEN\.\.\. ,1,
PAYNOW ONLEE BAKE\.\.\. ,1,2
PAYNOW ORIENTAL D\.\.\. ,1,3
PAYNOW ORIENTAL F\.\.\. ,1,
PAYNOW OTTOMAN CO\.\.\. ,1,
PAYNOW PETIT PAIN - P E T I T P A I N,1,
PAYNOW PETITE KRU\.\.\. ,1,
PAYNOW QASHIER \.\.\.   ,1,
PAYNOW SHOPEEPAY \.\.\. ,"1,2,5,7","2,5,7"
PAYNOW STRIPE PAY\.\.\. ,1,
PAYNOW SUGURU HOM\.\.\. ,1,
PAYNOW THE FRESHL\.\.\. ,1,
PAYNOW THE SALAD \.\.\. ,1,
PAYNOW TIONG BAHR\.\.\. ,1,
PAYNOW UMEYA FOOD\.\.\. ,1,
PAYNOW UNIWEB PTE\.\.\. ,1,3
PAYPAL \*WATAMIFOODS,1,
PENANG DELI,1,2
PENG GUAN J,1,
Penguin Cove Restauran,1,
PIADINI ITALIAN STREAT,1,
PINEAPPLETARTS\.SG,1,
PIPES BY HATTENDO,1,
Plain Vanilla - Hollan,1,5
PLAIN VANILLA BAKERY,1,
PLAYMADE,1,
POLAR PUFFS & CAKES - .*,1,
POPIAH BEND,1,
POULET - SPORTS HUB,1,
PRIMA DELI - TAMAN JURONG,1,
PRIME SUPER3KET,1,
project-acai-hv-qsr,1,5
PROMOTE JAPAN ENTERPRI,1,
PULLMAN BAKERY - JEC,1,"4,5,7"
PURE PANDAN,1,
QQ FRUIT JU,1,
RAJA RASA 7,1,3
RED DOT DESIGN MUSEUM,1,
REDSPOT BAN,1,
REDSPOT CHI,1,
REDSPOT DRI,1,
REE AND MUMMY PTE LTD,1,
REGROW HERBAL LABS PTE N/A,1,
REINVEND\ SOLUTIONS\ PTE\.\ L,1,6
RELACTO\.COM\.SG,1,
RESTORAN AH,1,
RFA_FB_RangerCafe,1,
RFA_RT_Entrance,1,
RICHFOODSPT,1,
RICHMAN\ DIMSUM\ PTE\ LTD\ N/A,1,7
RISIS @ NOG TICKETING OFF,1,
RISTORANTE PIETRASANTA,1,
ROAST & TOAST PTE LTD,1,
ROLINA,1,
RON SHENG B,1,
RONG FA DRI,1,
RONGHUA BAK KUT TEH \(C,1,
ROOTS@ONENORTH,1,
ROYCECO\.,1,
S'PORE SCIENCE CENTRE,"1,4",
S3TE CARTE,1,
SALLY,1,
SALT,1,
SALTED CARAMEL,1,
SAMURICE@TANJONG PAGAR,1,
Sang Nila Utang Mala P,1,"4,5,7"
SARAWAK KO,1,
SASHA'S FINE FOODS PTE\.,1,
SBCD KOREAN TOFU HOUSE -,1,
SBCD\.COM\.SG\* ODDLE,1,
SCISSORS CU,1,2
SCOOP WHOLEFOODS-PLQ,1,
SCRAMBLED EGG RICE,1,
SECONDFLOORLAB LLP,1,
SEN-RYO-ION,1,
SEND\ MONEY\ TO\ 92270613,1,2
SENG HUAT,1,
SF - NUH,1,
SG F&B MANAGEMENT,1,
Shake Shack - .*,1,"4,7"
SHAN YUAN,1,3
SHENGSIONG@JURONGSPBOWL,1,
SHIHLIN TAIWAN - PL,1,
SHISHEN CLA,1,2
SHUN FA FRE,1,
SIN SENG CO,1,
SIT@P S13A,1,
SIT@P S13B,1,
SJBH PTE LTD N/A,1,
Small Batch Cluny Road,1,
Smooy JEM,1,7
SMP\*\*T1\ East\ \-\ IRVINS,1,4
SMP\*\*YUNOMORI ONSEN SPA,1,
